Equipment,Timestamp,Temperature,Vibration,Usage_Hours,Lubrication_Status,Motor_Current,Pressure,Humidity,Conveyor_Speed,Maintenance_Required
CNC Machine,2020-01-30 04:40:07,31.4,0.25,1799,Empty,11.6,87,48,,No
Conveyor Belt,2022-01-02 10:17:30,20.2,0.38,707,Low,5.3,98,30,1.06,No
Robot,2022-09-29 17:02:08,33.5,0.05,509,Low,16.1,80,57,,Yes
CNC Machine,2020-11-06 00:46:27,24.9,0.5,820,Empty,18.5,80,55,,No
Stamping Machine,2020-10-18 06:17:22,74.5,0.5,509,Good,9.3,100,43,,No
Stamping Machine,2020-10-18 06:17:22,69.2,0.16,1077,Low,14.7,100,39,1.91,Yes
CNC Machine,2022-09-03 23:14:49,42.0,0.05,941,Low,5.3,80,35,,No
Stamping Machine,2020-09-29 12:55:45,20.2,0.31,509,Low,14.7,95,46,,Yes
Conveyor Belt,2022-01-13 11:52:31,20.2,0.5,509,Empty,5.3,80,70,2.04,Yes
Robot,2020-01-06 23:09:12,50.2,0.32,805,Good,19.1,80,38,,Yes
Stamping Machine,2021-06-20 23:29:22,40.1,0.5,509,Low,10.1,81,39,,No
Stamping Machine,2022-09-03 23:14:49,20.2,0.46,909,Low,18.6,92,42,1.06,No
Stamping Machine,2022-09-03 23:14:49,20.2,0.05,509,Low,10.2,90,38,,Yes
Stamping Machine,2023-09-16 23:58:34,79.7,0.5,509,Good,20.0,90,45,,Yes
Stamping Machine,2020-07-05 07:56:20,58.1,0.35,1440,Low,12.1,80,70,,Yes
CNC Machine,2022-09-03 23:14:49,73.1,0.17,735,Empty,11.1,100,37,1.15,Yes
Stamping Machine,2022-04-17 07:46:25,48.7,0.36,812,Low,5.3,96,36,,No
CNC Machine,2020-03-14 05:08:45,21.2,0.12,1073,Empty,5.3,88,36,,No
Robot,2020-07-05 07:56:20,20.2,0.5,1116,Empty,14.5,80,62,,No
CNC Machine,2021-02-25 23:15:52,79.7,0.13,509,Good,8.2,100,40,,No
CNC Machine,2023-09-16 23:58:34,46.5,0.05,1883,Low,10.8,100,46,,No
Stamping Machine,2022-07-04 01:26:47,65.7,0.5,509,Empty,12.2,90,38,,No
Robot,2022-09-03 23:14:49,52.0,0.33,1993,Low,12.0,82,50,,No
Stamping Machine,2022-10-30 20:56:26,25.0,0.37,1194,Low,5.3,99,50,,Yes
Stamping Machine,2023-09-13 19:13:21,74.1,0.5,509,Empty,13.5,95,59,,Yes
Robot,2023-09-15 23:39:07,61.3,0.4,509,Empty,8.4,91,36,1.91,No
Conveyor Belt,2023-07-24 16:21:48,20.2,0.45,1547,Low,5.3,87,49,2.41,Yes
Robot,2022-07-12 22:45:22,20.2,0.05,509,Low,18.7,90,52,1.91,Yes
CNC Machine,2023-09-16 23:58:34,20.2,0.34,509,Good,20.0,80,43,,No
Conveyor Belt,2020-03-14 05:08:45,79.7,0.1,1212,Empty,5.3,85,70,,Yes
Conveyor Belt,2020-01-06 23:09:12,50.1,0.05,789,Low,13.8,100,70,,No
Stamping Machine,2022-01-11 09:47:18,20.2,0.5,856,Good,17.3,82,59,,No
Stamping Machine,2022-07-04 01:26:47,65.7,0.37,509,Good,15.2,100,30,,Yes
Stamping Machine,2021-08-04 20:57:21,76.5,0.37,509,Good,20.0,100,49,,No
Stamping Machine,2020-10-18 06:17:22,20.2,0.46,1993,Good,20.0,88,42,,Yes
CNC Machine,2022-07-12 22:45:22,67.7,0.16,1189,Empty,20.0,89,56,,Yes
Robot,2020-11-06 00:46:27,21.0,0.25,1111,Good,20.0,96,70,1.97,Yes
CNC Machine,2023-09-16 23:58:34,21.0,0.05,1154,Good,14.0,83,64,,Yes
Conveyor Belt,2023-09-16 23:58:34,53.5,0.05,509,Good,10.5,87,37,,Yes
CNC Machine,2022-07-12 22:45:22,20.2,0.37,854,Empty,16.8,91,34,,Yes
Conveyor Belt,2020-11-13 22:12:35,66.3,0.35,509,Empty,5.6,80,60,1.91,No
Stamping Machine,2022-09-03 23:14:49,29.3,0.5,509,Good,15.3,97,43,1.88,Yes
CNC Machine,2022-09-03 23:14:49,46.9,0.05,1484,Empty,8.2,100,42,1.87,Yes
CNC Machine,2021-10-24 16:48:04,30.6,0.06,509,Good,8.5,92,34,,Yes
Stamping Machine,2021-09-15 17:57:32,54.2,0.5,843,Good,17.0,100,42,,Yes
Robot,2023-09-15 23:39:07,79.7,0.5,509,Good,20.0,82,53,,No
CNC Machine,2022-09-03 23:14:49,58.8,0.22,748,Empty,13.0,81,70,,Yes
Conveyor Belt,2020-04-03 03:08:29,20.2,0.05,509,Good,17.4,100,36,1.87,Yes
Stamping Machine,2022-10-09 20:41:10,52.0,0.05,1308,Good,16.7,80,30,,Yes
Stamping Machine,2020-10-18 06:17:22,32.2,0.37,1993,Empty,20.0,94,30,,Yes
Conveyor Belt,2022-08-08 14:01:42,79.7,0.05,509,Low,5.3,100,70,,No
CNC Machine,2020-10-18 06:17:22,20.2,0.19,1185,Low,17.3,100,30,,Yes
Conveyor Belt,2022-07-04 01:26:47,61.3,0.16,509,Low,20.0,90,30,,Yes
Conveyor Belt,2022-03-17 11:53:18,45.4,0.5,1044,Good,16.0,93,70,1.88,Yes
Robot,2020-01-06 23:09:12,20.2,0.05,509,Empty,5.3,100,34,,No
Stamping Machine,2020-07-05 07:56:20,50.5,0.5,1465,Good,10.0,94,70,,No
Stamping Machine,2022-09-03 23:14:49,71.5,0.05,1331,Good,20.0,100,40,,No
Stamping Machine,2022-09-03 23:14:49,60.1,0.21,509,Low,6.0,84,70,1.9,No
CNC Machine,2022-12-24 04:03:28,37.0,0.27,1063,Low,5.3,100,64,,No
Stamping Machine,2022-01-08 16:52:54,38.7,0.5,740,Good,19.3,80,70,,Yes
CNC Machine,2020-10-18 06:17:22,20.2,0.05,509,Good,9.1,100,30,,Yes
Robot,2023-09-16 23:58:34,57.0,0.32,1456,Good,6.9,84,70,,Yes
Stamping Machine,2022-09-03 23:14:49,79.7,0.05,509,Empty,19.8,80,30,,No
Robot,2023-09-16 23:58:34,57.1,0.5,509,Good,17.9,93,35,,Yes
CNC Machine,2021-10-14 00:34:41,37.9,0.09,509,Low,20.0,99,51,,Yes
Conveyor Belt,2021-09-28 02:47:06,66.4,0.5,1043,Empty,5.3,100,43,1.9,No
CNC Machine,2022-07-04 01:26:47,45.8,0.5,532,Low,16.7,100,36,1.11,Yes
Stamping Machine,2020-01-06 23:09:12,54.4,0.05,1212,Low,5.3,100,70,,No
CNC Machine,2022-09-03 23:14:49,32.6,0.11,509,Good,15.8,100,41,,Yes
CNC Machine,2021-05-22 13:42:41,29.9,0.38,1591,Low,14.3,94,30,,No
Conveyor Belt,2023-07-24 16:21:48,20.2,0.5,509,Empty,11.5,86,30,,Yes
Conveyor Belt,2023-07-02 01:54:59,20.2,0.42,530,Low,17.7,80,36,1.86,Yes
Stamping Machine,2022-09-03 23:14:49,67.9,0.08,1184,Good,18.8,85,41,1.87,Yes
Robot,2023-09-22 03:26:36,62.0,0.5,509,Good,20.0,100,30,,No
CNC Machine,2020-08-10 03:31:41,20.2,0.5,708,Low,19.5,80,36,,No
Stamping Machine,2022-08-18 00:56:51,57.7,0.21,668,Low,8.2,100,70,,Yes
Stamping Machine,2022-09-03 23:14:49,46.3,0.08,509,Empty,17.4,83,54,,No
Stamping Machine,2023-09-16 23:58:34,44.8,0.09,509,Low,16.8,80,53,,No
Stamping Machine,2022-09-03 23:14:49,72.8,0.05,509,Good,10.2,98,48,,No
CNC Machine,2022-09-29 17:02:08,20.2,0.5,864,Empty,7.9,99,34,,No
CNC Machine,2022-09-03 23:14:49,20.2,0.05,1195,Low,18.8,99,40,,Yes
Robot,2021-10-14 00:34:41,20.2,0.18,509,Low,14.5,80,30,1.87,Yes
Conveyor Belt,2020-10-18 06:17:22,31.7,0.05,1888,Good,7.3,96,57,,No
Robot,2022-06-23 09:37:09,29.6,0.35,1051,Low,7.1,100,46,2.03,No
Stamping Machine,2021-10-24 16:48:04,79.7,0.37,737,Empty,9.9,100,38,,Yes
Stamping Machine,2023-09-16 23:58:34,68.1,0.28,509,Low,20.0,85,30,,No
CNC Machine,2022-04-21 13:10:24,20.2,0.05,1186,Good,20.0,93,30,1.86,No
Robot,2020-08-10 03:31:41,20.2,0.5,999,Good,7.3,84,70,1.9,Yes
CNC Machine,2022-02-04 09:20:03,75.5,0.5,509,Good,5.3,84,62,,No
Robot,2022-07-12 22:45:22,47.4,0.05,509,Good,11.7,99,70,,Yes
CNC Machine,2021-03-21 08:22:28,20.2,0.05,1286,Empty,20.0,97,37,,Yes
CNC Machine,2021-06-20 23:29:22,32.3,0.05,1281,Good,20.0,100,30,,No
Stamping Machine,2021-10-24 16:48:04,20.2,0.32,1623,Good,10.2,83,70,,Yes
Stamping Machine,2021-09-28 02:47:06,79.7,0.39,509,Good,12.2,100,58,,Yes
Conveyor Belt,2023-09-22 03:26:36,70.8,0.39,509,Empty,5.3,100,30,,Yes
Stamping Machine,2022-07-12 22:45:22,79.7,0.36,509,Good,9.4,100,30,,No
CNC Machine,2020-04-03 06:01:09,65.9,0.5,732,Empty,5.3,86,53,,No
CNC Machine,2020-10-18 06:17:22,46.7,0.5,509,Empty,20.0,80,41,,Yes
Stamping Machine,2020-11-06 00:46:27,79.1,0.05,509,Low,10.5,90,70,2.05,No
Stamping Machine,2022-09-03 23:14:49,27.5,0.5,1294,Empty,20.0,87,56,,No
Stamping Machine,2023-09-15 23:39:07,30.2,0.39,509,Low,9.4,80,70,1.91,Yes
Stamping Machine,2022-09-03 23:14:49,45.8,0.05,509,Empty,10.0,99,30,,Yes
CNC Machine,2022-07-04 01:26:47,68.1,0.13,509,Empty,6.9,92,64,,Yes
Conveyor Belt,2021-12-10 16:13:49,79.7,0.15,509,Good,13.9,100,46,,Yes
Conveyor Belt,2020-11-06 00:46:27,35.9,0.18,1515,Empty,10.9,89,30,,No
Stamping Machine,2022-10-09 20:41:10,20.2,0.05,509,Low,13.4,91,33,,Yes
Stamping Machine,2022-09-03 23:14:49,20.2,0.1,1341,Good,19.7,80,60,1.12,Yes
Conveyor Belt,2023-09-16 23:58:34,28.1,0.5,509,Low,6.8,100,36,,No
Conveyor Belt,2022-09-03 23:14:49,28.5,0.27,509,Good,5.3,93,30,,Yes
Stamping Machine,2023-09-16 23:58:34,20.2,0.27,793,Good,20.0,83,30,,Yes
Robot,2023-07-29 03:01:37,53.6,0.5,509,Low,10.0,81,40,1.93,Yes
Stamping Machine,2023-09-16 23:58:34,36.0,0.23,509,Low,20.0,86,30,,Yes
Conveyor Belt,2020-07-26 05:50:11,26.2,0.39,750,Empty,7.2,86,70,,Yes
Conveyor Belt,2023-09-16 23:58:34,44.5,0.16,509,Good,15.6,100,34,,Yes
Stamping Machine,2021-12-07 13:08:57,76.1,0.5,1452,Empty,20.0,84,70,,Yes
Stamping Machine,2020-09-09 21:58:16,55.1,0.05,509,Empty,20.0,81,68,,No
CNC Machine,2023-09-16 23:58:34,73.8,0.21,509,Empty,8.7,100,47,,Yes
CNC Machine,2020-04-03 06:01:09,76.2,0.37,509,Good,5.3,100,70,,Yes
Stamping Machine,2022-09-03 23:14:49,32.2,0.28,1373,Low,20.0,92,33,,Yes
CNC Machine,2020-07-05 07:56:20,47.8,0.16,811,Good,5.3,86,39,,No
CNC Machine,2022-07-16 11:45:17,65.3,0.48,864,Empty,13.1,82,70,,Yes
Conveyor Belt,2022-02-04 09:20:03,20.2,0.25,509,Good,20.0,82,34,,Yes
CNC Machine,2020-10-18 06:17:22,20.2,0.12,608,Low,6.8,80,63,,No
CNC Machine,2022-07-12 22:45:22,20.2,0.06,509,Good,5.3,100,66,,Yes
Stamping Machine,2021-10-14 00:34:41,72.5,0.38,509,Low,20.0,100,30,,Yes
Robot,2022-09-03 23:14:49,32.4,0.37,1791,Good,9.2,91,44,1.92,No
Conveyor Belt,2022-02-04 09:20:03,46.4,0.05,509,Good,19.4,92,57,,Yes
CNC Machine,2022-07-04 01:26:47,75.2,0.5,509,Low,16.3,86,43,,Yes
Conveyor Belt,2021-06-03 11:55:09,69.7,0.32,577,Good,19.5,100,58,,Yes
Stamping Machine,2020-10-18 06:17:22,20.2,0.05,1719,Low,5.3,100,60,,No
Robot,2023-09-15 23:39:07,79.7,0.5,509,Low,11.3,80,40,,No
Stamping Machine,2022-04-21 13:10:24,20.2,0.34,750,Low,20.0,96,30,,No
CNC Machine,2022-09-03 23:14:49,59.3,0.5,1041,Low,13.1,100,44,1.95,Yes
CNC Machine,2020-10-18 06:17:22,79.7,0.23,509,Good,13.9,100,36,,No
Stamping Machine,2023-04-25 20:04:00,47.7,0.05,750,Good,5.3,100,63,1.9,Yes
Stamping Machine,2022-09-03 23:14:49,20.8,0.05,1439,Low,17.3,100,37,,Yes
Stamping Machine,2022-09-03 23:14:49,79.7,0.5,1079,Low,6.7,98,66,,Yes
Stamping Machine,2022-07-04 01:26:47,20.2,0.05,567,Good,10.4,99,42,,No
CNC Machine,2022-05-03 02:19:35,79.7,0.11,509,Good,5.3,80,52,,Yes
Stamping Machine,2020-11-06 00:46:27,23.3,0.48,509,Empty,16.5,81,62,,Yes
Robot,2020-03-14 05:08:45,74.8,0.5,731,Good,7.4,80,70,,No
CNC Machine,2022-09-03 23:14:49,45.9,0.05,728,Low,20.0,100,30,,Yes
Conveyor Belt,2023-09-16 23:58:34,20.2,0.14,1993,Low,17.6,100,41,1.86,No
Stamping Machine,2022-07-12 22:45:22,64.3,0.48,509,Good,8.5,100,34,1.21,Yes
CNC Machine,2022-07-12 22:45:22,37.7,0.15,509,Good,6.9,100,70,,No
Conveyor Belt,2022-10-18 19:14:16,20.2,0.09,509,Low,17.1,94,30,,Yes
Stamping Machine,2022-04-21 13:10:24,20.2,0.05,1191,Good,20.0,80,36,,No
Stamping Machine,2022-07-12 22:45:22,79.7,0.05,509,Low,5.3,100,55,2.04,Yes
Robot,2023-09-16 23:58:34,59.1,0.05,509,Low,15.0,83,49,,Yes
Stamping Machine,2020-04-03 03:08:29,72.1,0.5,509,Low,20.0,80,30,,No
Robot,2020-04-03 06:01:09,30.5,0.5,509,Empty,6.5,100,30,,Yes
Conveyor Belt,2020-07-05 07:56:20,79.7,0.5,509,Low,20.0,100,35,2.03,Yes
Stamping Machine,2023-09-16 23:58:34,75.9,0.13,747,Good,17.4,80,34,,Yes
Stamping Machine,2022-12-24 04:03:28,57.5,0.26,509,Empty,20.0,84,53,,Yes
Robot,2023-09-22 03:26:36,22.2,0.47,1993,Good,19.0,96,64,1.98,No
Conveyor Belt,2022-09-03 23:14:49,20.2,0.14,796,Empty,5.3,100,35,,Yes
Stamping Machine,2023-09-16 23:58:34,20.2,0.22,739,Empty,20.0,80,30,,Yes
Stamping Machine,2023-09-16 23:58:34,32.9,0.5,800,Good,17.7,93,44,,Yes
Robot,2022-09-03 23:14:49,46.8,0.06,916,Low,11.7,80,43,,No
Robot,2022-09-03 23:14:49,30.1,0.5,570,Low,5.3,100,30,1.91,No
CNC Machine,2021-11-07 23:58:34,20.2,0.5,1441,Good,5.3,100,39,,No
Conveyor Belt,2023-09-16 23:58:34,75.4,0.5,1993,Good,20.0,89,40,,Yes
CNC Machine,2023-01-21 15:34:41,20.2,0.35,509,Good,8.4,100,30,,Yes
CNC Machine,2020-10-18 06:17:22,20.2,0.05,509,Good,12.8,100,35,,Yes
CNC Machine,2021-02-11 00:06:13,42.4,0.28,731,Good,16.6,80,30,,Yes
Conveyor Belt,2022-07-04 01:26:47,79.7,0.5,509,Good,5.3,95,34,,No
Robot,2022-07-04 01:26:47,56.3,0.14,841,Good,8.9,100,50,1.93,No
CNC Machine,2020-03-14 05:08:45,79.7,0.28,1993,Empty,8.7,93,70,,Yes
CNC Machine,2022-09-03 23:14:49,79.7,0.5,509,Low,11.5,83,44,,Yes
